Years,State,CO2_Emissions_commercial,CO2_Emissions_electricity,CO2_Emissions_industrial,CO2_Emissions_residential,CO2_Emissions_transportation,Year_x,Real GDP,Unit,State_Code_x,Year_y,Personal Income (millions),Population,Per capita income (dollars),State_Code_y,State_Code,CLPRB,CLPRK,CLPRP,COPRK,EMFDB,ENPRP,GETCB,HYTCB,NGMPB,NGMPK,NGMPP,NUETB,PAPRB,PAPRP,REPRB,ROPRB,SOTCB,TEPRB,TETCB,WDEXB,WDPRB,WDTCB,WSTCB,WYTCB
2006,Montana,1.1,18.8,5.2,1.6,8.5,2006,38431.3,Millions of chained 2012 dollars,MT,2006,30402.3,952692.0,31912.0,MT,MT,754967.0,18.051,41823.0,5.8,0.0,0.0,281.0,100481.0,116906.0,1.036,112845.0,0.0,210505.0,36294.0,122240.0,122240.0,15.0,1204617.0,439103.0,0.0,16759.0,16759.0,378.0,4324.0
2007,Montana,0.9,19.8,5.4,1.6,8.9,2007,40378.8,Millions of chained 2012 dollars,MT,2007,32716.6,964706.0,33914.0,MT,MT,778069.0,17.932000000000002,43390.0,5.8,0.0,0.0,277.0,92557.0,121193.0,1.037,116848.0,0.0,202461.0,34907.0,117750.0,117750.0,23.0,1219473.0,469893.0,0.0,19562.0,19562.0,430.0,4900.0
2008,Montana,1.0,19.8,5.1,1.8,8.2,2008,40161.5,Millions of chained 2012 dollars,MT,2008,34421.4,976415.0,35253.0,MT,MT,794235.0,17.734,44786.0,5.8,0.0,0.0,265.0,98536.0,116656.0,1.037,112529.0,0.0,183257.0,31596.0,123131.0,123131.0,33.0,1217278.0,456678.0,0.0,18029.0,18029.0,424.0,5845.0
2009,Montana,1.4,17.0,4.3,1.8,7.8,2009,39337.4,Millions of chained 2012 dollars,MT,2009,33711.5,983982.0,34260.0,MT,MT,703719.0,17.822,39486.0,5.8,0.0,0.0,275.0,92778.0,101900.0,1.037,98245.0,0.0,161443.0,27835.0,113797.0,113797.0,31.0,1080859.0,427046.0,0.0,12232.0,12232.0,468.0,8012.0
2010,Montana,1.2,19.8,3.6,1.6,8.0,2010,40543.8,Millions of chained 2012 dollars,MT,2010,35561.8,990722.0,35895.0,MT,MT,797035.0,17.817999999999998,44732.0,5.8,0.0,0.0,279.0,91849.0,90618.0,1.035,87539.0,0.0,146926.0,25332.0,114783.0,114783.0,33.0,1149362.0,402053.0,0.0,13067.0,13067.0,479.0,9075.0
2011,Montana,1.4,16.5,3.7,1.7,8.0,2011,41473.1,Millions of chained 2012 dollars,MT,2011,38077.7,997221.0,38184.0,MT,MT,746650.0,17.774,42008.0,5.8,0.0,0.0,403.0,122382.0,77669.0,1.041,74624.0,0.0,140099.0,24155.0,140363.0,140363.0,32.0,1104781.0,403202.0,0.0,4495.0,4495.0,758.0,12292.0
2012,Montana,1.2,15.5,4.1,1.5,7.8,2012,42005.8,Millions of chained 2012 dollars,MT,2012,40471.0,1003754.0,40320.0,MT,MT,660148.0,17.991,36694.0,5.8,0.0,0.0,337.0,107373.0,70814.0,1.058,66954.0,0.0,153665.0,26494.0,124377.0,124377.0,86.0,1009005.0,395970.0,0.0,3898.0,3898.0,675.0,12007.0
2013,Montana,1.3,16.4,4.2,1.6,8.1,2013,42433.8,Millions of chained 2012 dollars,MT,2013,40720.8,1013564.0,40176.0,MT,MT,753246.0,17.836,42231.0,5.8,0.0,0.0,337.0,91959.0,67877.0,1.073,63242.0,0.0,169870.0,29288.0,114499.0,114499.0,115.0,1105493.0,406672.0,0.0,4938.0,4938.0,410.0,16741.0
2014,Montana,1.3,17.1,4.1,1.6,7.8,2014,43173.7,Millions of chained 2012 dollars,MT,2014,42817.5,1021891.0,41900.0,MT,MT,790673.0,17.743,44562.0,5.8,0.0,0.0,337.0,109201.0,63185.0,1.068,59160.0,0.0,173403.0,29897.0,134146.0,134146.0,117.0,1161407.0,405408.0,0.0,5333.0,5333.0,387.0,18771.0
2015,Montana,1.2,17.6,4.0,1.5,7.6,2015,44871.4,Millions of chained 2012 dollars,MT,2015,44831.0,1030503.0,43504.0,MT,MT,746222.0,17.825,41864.0,5.7170000000000005,0.0,0.0,337.0,92144.0,55943.0,1.089,51356.0,0.0,163260.0,28557.0,125018.0,125018.0,85.0,1090443.0,404110.0,0.0,13759.0,13759.0,383.0,18309.0
2016,Montana,1.4,15.9,3.8,1.5,7.9,2016,44265.4,Millions of chained 2012 dollars,MT,2016,45507.9,1040863.0,43721.0,MT,MT,572787.0,17.714000000000002,32336.0,5.722,0.0,0.0,337.0,93082.0,52130.0,1.088,47921.0,0.0,132625.0,23178.0,128174.0,128174.0,110.0,885716.0,404888.0,0.0,14495.0,14495.0,392.0,19758.0
2000,Nebraska,1.8,19.1,5.9,2.8,12.1,2000,76623.4,Millions of chained 2012 dollars,NE,2000,49735.6,1713820.0,29020.0,NE,NE,0.0,0.0,0.0,5.8,46154.0,7647.0,320.0,15309.0,1225.0,1.005,1218.0,89988.0,17151.0,2957.0,67458.0,21304.0,14.0,175822.0,655874.0,0.0,3304.0,3304.0,2358.0,0.0
2001,Nebraska,1.7,20.7,6.1,3.0,11.4,2001,78258.0,Millions of chained 2012 dollars,NE,2001,51961.9,1719836.0,30213.0,NE,NE,0.0,0.0,0.0,5.8,50496.0,8377.0,353.0,11616.0,1229.0,1.0170000000000001,1208.0,91127.0,16948.0,2922.0,70152.0,19656.0,13.0,179455.0,653448.0,0.0,3446.0,3446.0,4202.0,27.0
2002,Nebraska,1.6,20.1,6.1,2.9,11.7,2002,79665.3,Millions of chained 2012 dollars,NE,2002,52767.7,1728292.0,30532.0,NE,NE,0.0,0.0,0.0,5.8,50537.0,8395.0,378.0,11165.0,1196.0,1.0070000000000001,1188.0,105696.0,16136.0,2782.0,70412.0,19875.0,12.0,193440.0,664606.0,0.0,3397.0,3397.0,4841.0,82.0
2003,Nebraska,1.7,21.0,6.0,2.8,12.0,2003,84119.5,Millions of chained 2012 dollars,NE,2003,56024.4,1738643.0,32223.0,NE,NE,0.0,0.0,0.0,5.8,54494.0,9107.0,512.0,9924.0,1464.0,1.0070000000000001,1454.0,83344.0,15967.0,2753.0,73956.0,19462.0,12.0,174732.0,673511.0,0.0,3567.0,3567.0,5061.0,387.0
2004,Nebraska,1.8,20.6,6.2,2.5,12.1,2004,86081.5,Millions of chained 2012 dollars,NE,2004,58602.4,1749370.0,33499.0,NE,NE,0.0,0.0,0.0,5.8,72936.0,12263.0,575.0,9145.0,1489.0,1.0090000000000001,1476.0,106796.0,14535.0,2506.0,91627.0,18691.0,11.0,214447.0,685988.0,0.0,3634.0,3634.0,4941.0,385.0
2005,Nebraska,1.6,21.3,6.1,2.5,12.2,2005,88893.9,Millions of chained 2012 dollars,NE,2005,60790.1,1761497.0,34510.0,NE,NE,0.0,0.0,0.0,5.8,76425.0,12929.0,671.0,8714.0,1183.0,1.0090000000000001,1172.0,91856.0,13966.0,2408.0,94833.0,18408.0,15.0,201838.0,693602.0,0.0,2720.0,2720.0,5321.0,966.0
2006,Nebraska,1.7,21.1,6.8,2.3,12.3,2006,91387.2,Millions of chained 2012 dollars,NE,2006,63584.2,1772693.0,35869.0,NE,NE,0.0,0.0,0.0,5.8,84490.0,14381.0,728.0,8861.0,1214.0,1.012,1200.0,93943.0,13415.0,2313.0,103063.0,18574.0,20.0,211636.0,709964.0,0.0,2520.0,2520.0,3853.0,2591.0
2007,Nebraska,1.8,20.3,7.6,2.5,12.4,2007,93387.5,Millions of chained 2012 dollars,NE,2007,68466.1,1783440.0,38390.0,NE,NE,0.0,0.0,0.0,5.8,116241.0,19905.0,795.0,3434.0,1583.0,1.018,1555.0,115815.0,13543.0,2335.0,129778.0,13537.0,23.0,260719.0,757048.0,0.0,2760.0,2760.0,4383.0,2143.0
2008,Nebraska,2.1,21.8,7.7,2.9,12.1,2008,93569.3,Millions of chained 2012 dollars,NE,2008,72259.9,1796378.0,40225.0,NE,NE,0.0,0.0,0.0,5.8,162967.0,28081.0,876.0,3414.0,3116.0,1.011,3082.0,99075.0,13885.0,2394.0,176747.0,13780.0,25.0,292823.0,795353.0,0.0,3038.0,3038.0,4316.0,2111.0
2009,Nebraska,1.9,23.1,7.4,2.7,12.2,2009,94050.0,Millions of chained 2012 dollars,NE,2009,71173.5,1812683.0,39264.0,NE,NE,0.0,0.0,0.0,5.8,161840.0,28038.0,1021.0,4233.0,2943.0,1.012,2908.0,98682.0,12986.0,2239.0,178644.0,16804.0,25.0,293256.0,778840.0,0.0,3097.0,3097.0,4694.0,3735.0
2010,Nebraska,1.9,23.1,8.0,2.7,14.2,2010,97856.7,Millions of chained 2012 dollars,NE,2010,74864.2,1829536.0,40920.0,NE,NE,0.0,0.0,0.0,5.8,242733.0,42147.0,1151.0,12818.0,2240.0,1.004,2231.0,115540.0,13520.0,2331.0,269110.0,26377.0,28.0,400410.0,861617.0,0.0,3380.0,3380.0,4886.0,4114.0
2011,Nebraska,1.9,25.4,8.6,2.6,13.7,2011,102332.7,Millions of chained 2012 dollars,NE,2011,83613.6,1840538.0,45429.0,NE,NE,0.0,0.0,0.0,5.8,270541.0,47120.0,1195.0,15713.0,1981.0,1.011,1959.0,72549.0,14755.0,2544.0,301952.0,31411.0,31.0,391236.0,863554.0,0.0,3244.0,3244.0,1018.0,10210.0
2012,Nebraska,1.6,24.4,9.2,2.1,13.3,2012,102269.0,Millions of chained 2012 dollars,NE,2012,86293.7,1853323.0,46562.0,NE,NE,0.0,0.0,0.0,5.8,248621.0,43452.0,1212.0,11962.0,1353.0,1.0190000000000001,1328.0,60795.0,17545.0,3025.0,277782.0,29160.0,33.0,357475.0,853389.0,0.0,2758.0,2758.0,980.0,12215.0
2013,Nebraska,2.0,26.0,9.3,2.7,13.4,2013,105038.2,Millions of chained 2012 dollars,NE,2013,86913.9,1865414.0,46592.0,NE,NE,0.0,0.0,0.0,5.8,247733.0,43436.0,1212.0,10723.0,1069.0,1.036,1032.0,71736.0,16286.0,2808.0,281464.0,33731.0,37.0,370555.0,872746.0,0.0,3493.0,3493.0,1075.0,17191.0
2014,Nebraska,2.0,24.3,9.2,2.8,13.9,2014,107166.2,Millions of chained 2012 dollars,NE,2014,91999.0,1879522.0,48948.0,NE,NE,0.0,0.0,0.0,5.8,245480.0,43166.0,1212.0,11010.0,435.0,1.042,417.0,105655.0,17690.0,3050.0,288402.0,42922.0,38.0,412181.0,870154.0,0.0,3547.0,3547.0,1087.0,26028.0
2015,Nebraska,2.0,23.4,9.2,2.3,13.8,2015,110325.7,Millions of chained 2012 dollars,NE,2015,95687.4,1891507.0,50588.0,NE,NE,0.0,0.0,0.0,5.7170000000000005,260256.0,45923.0,1212.0,15702.0,504.0,1.057,477.0,107976.0,16636.0,2910.0,311010.0,50754.0,41.0,436127.0,853819.0,0.0,2958.0,2958.0,1203.0,29639.0
2016,Nebraska,1.8,21.2,9.5,2.2,13.8,2016,110812.0,Millions of chained 2012 dollars,NE,2016,94730.8,1905924.0,49703.0,NE,NE,0.0,0.0,0.0,5.722,274708.0,48651.0,1212.0,7906.0,557.0,1.0590000000000002,526.0,97798.0,13092.0,2288.0,323506.0,48797.0,90.0,434952.0,868307.0,0.0,2859.0,2859.0,1663.0,35067.0
2000,Nevada,1.6,24.9,2.6,1.8,14.4,2000,105343.7,Millions of chained 2012 dollars,NV,2000,64339.6,2018741.0,31871.0,NV,NV,0.0,0.0,0.0,5.8,0.0,0.0,15106.0,24783.0,7.0,1.026,7.0,0.0,3602.0,621.0,44738.0,44738.0,478.0,48346.0,614707.0,0.0,4371.0,4371.0,0.0,0.0
2001,Nevada,1.4,24.3,2.5,2.0,14.4,2001,106656.8,Millions of chained 2012 dollars,NV,2001,67862.4,2098399.0,32340.0,NV,NV,0.0,0.0,0.0,5.8,0.0,0.0,13566.0,25974.0,7.0,1.025,7.0,0.0,3318.0,572.0,43412.0,43412.0,539.0,46737.0,621969.0,0.0,3317.0,3317.0,15.0,0.0
2002,Nevada,1.5,21.1,2.2,2.0,14.7,2002,110020.4,Millions of chained 2012 dollars,NV,2002,69626.7,2173791.0,32030.0,NV,NV,0.0,0.0,0.0,5.8,0.0,0.0,12646.0,23068.0,6.0,1.025,6.0,0.0,3207.0,553.0,39422.0,39422.0,574.0,42636.0,614735.0,0.0,3097.0,3097.0,37.0,0.0
2003,Nevada,1.5,23.1,2.1,2.0,15.0,2003,115571.0,Millions of chained 2012 dollars,NV,2003,74202.2,2248850.0,32996.0,NV,NV,0.0,0.0,0.0,5.8,0.0,0.0,11926.0,17787.0,6.0,1.028,6.0,0.0,2859.0,493.0,33579.0,33579.0,590.0,36445.0,639545.0,0.0,3240.0,3240.0,36.0,0.0
2004,Nevada,1.7,25.4,2.5,2.2,16.0,2004,128884.5,Millions of chained 2012 dollars,NV,2004,82501.2,2346222.0,35163.0,NV,NV,0.0,0.0,0.0,5.8,0.0,0.0,14183.0,16177.0,5.0,1.031,5.0,0.0,2685.0,463.0,34322.0,34322.0,607.0,37013.0,673679.0,0.0,3319.0,3319.0,36.0,0.0
2005,Nevada,1.8,26.4,2.8,2.2,16.7,2005,139694.9,Millions of chained 2012 dollars,NV,2005,92671.1,2432143.0,38103.0,NV,NV,0.0,0.0,0.0,5.8,0.0,0.0,13910.0,17022.0,5.0,1.0390000000000001,5.0,0.0,2593.0,447.0,34475.0,34475.0,706.0,37073.0,698333.0,0.0,2799.0,2799.0,38.0,0.0
2006,Nevada,1.8,16.6,2.9,2.3,17.8,2006,145209.4,Millions of chained 2012 dollars,NV,2006,100383.7,2522658.0,39793.0,NV,NV,0.0,0.0,0.0,5.8,0.0,0.0,14606.0,20410.0,5.0,1.032,5.0,0.0,2471.0,426.0,38315.0,38315.0,801.0,40791.0,739691.0,0.0,2363.0,2363.0,136.0,0.0
2007,Nevada,1.8,16.8,2.9,2.3,18.0,2007,144404.8,Millions of chained 2012 dollars,NV,2007,104564.6,2601072.0,40201.0,NV,NV,0.0,0.0,0.0,5.8,0.0,0.0,13682.0,19800.0,5.0,1.032,5.0,0.0,2366.0,408.0,37695.0,37695.0,1484.0,40066.0,732978.0,0.0,2575.0,2575.0,154.0,0.0
2008,Nevada,1.8,18.0,2.8,2.3,16.0,2008,138863.3,Millions of chained 2012 dollars,NV,2008,102785.5,2653630.0,38734.0,NV,NV,0.0,0.0,0.0,5.8,0.0,0.0,14997.0,17251.0,4.0,1.0390000000000001,4.0,0.0,2529.0,436.0,37854.0,37854.0,2649.0,40387.0,697145.0,0.0,2805.0,2805.0,152.0,0.0
2009,Nevada,1.8,18.1,2.7,2.3,14.5,2009,127242.4,Millions of chained 2012 dollars,NV,2009,96858.6,2684665.0,36078.0,NV,NV,0.0,0.0,0.0,5.8,0.0,0.0,17323.0,24015.0,4.0,1.031,4.0,0.0,2540.0,438.0,46712.0,46712.0,2837.0,49256.0,651321.0,0.0,2368.0,2368.0,168.0,0.0
2010,Nevada,1.8,16.8,2.8,2.4,13.8,2010,128827.2,Millions of chained 2012 dollars,NV,2010,100605.8,2702464.0,37227.0,NV,NV,0.0,0.0,0.0,5.8,0.0,0.0,21631.0,21047.0,4.0,1.033,4.0,0.0,2471.0,426.0,48923.0,48923.0,3376.0,51398.0,646730.0,0.0,2697.0,2697.0,172.0,0.0
2011,Nevada,1.9,14.5,1.8,2.4,13.2,2011,129733.5,Millions of chained 2012 dollars,NV,2011,104579.4,2712799.0,38550.0,NV,NV,0.0,0.0,0.0,5.8,0.0,0.0,22419.0,21284.0,3.0,1.024,3.0,0.0,2366.0,408.0,50232.0,50232.0,4257.0,52602.0,633139.0,0.0,2268.0,2268.0,4.0,0.0
2012,Nevada,1.8,14.7,2.2,2.2,13.8,2012,128043.0,Millions of chained 2012 dollars,NV,2012,108825.1,2744566.0,39651.0,NV,NV,0.0,0.0,0.0,5.8,0.0,0.0,23886.0,23223.0,4.0,1.0290000000000001,4.0,0.0,2134.0,368.0,56557.0,56557.0,6079.0,58695.0,639066.0,0.0,1930.0,1930.0,213.0,1226.0
2013,Nevada,1.9,15.4,2.5,2.5,14.2,2013,128272.7,Millions of chained 2012 dollars,NV,2013,109055.1,2776972.0,39271.0,NV,NV,0.0,0.0,0.0,5.8,0.0,0.0,27022.0,25588.0,3.0,1.034,3.0,0.0,1937.0,334.0,66491.0,66491.0,8780.0,68432.0,659343.0,0.0,2441.0,2441.0,270.0,2390.0
2014,Nevada,1.8,16.0,3.3,2.1,14.1,2014,129999.9,Millions of chained 2012 dollars,NV,2014,116945.3,2819012.0,41484.0,NV,NV,0.0,0.0,0.0,5.8,0.0,0.0,27499.0,22719.0,3.0,1.034,3.0,0.0,1833.0,316.0,67475.0,67475.0,11650.0,69311.0,661968.0,0.0,2480.0,2480.0,273.0,2854.0
2015,Nevada,2.2,14.4,2.2,2.2,14.3,2015,135429.2,Millions of chained 2012 dollars,NV,2015,126408.0,2868666.0,44065.0,NV,NV,0.0,0.0,0.0,5.7170000000000005,0.0,0.0,30535.0,21099.0,4.0,1.042,4.0,0.0,1606.0,281.0,75367.0,75367.0,18215.0,76977.0,651344.0,0.0,2346.0,2346.0,286.0,2886.0
2016,Nevada,2.3,13.9,3.2,2.3,15.0,2016,139295.5,Millions of chained 2012 dollars,NV,2016,131294.0,2919772.0,44967.0,NV,NV,0.0,0.0,0.0,5.722,0.0,0.0,32506.0,16518.0,3.0,1.041,3.0,0.0,1585.0,277.0,88596.0,88596.0,33321.0,90185.0,680144.0,0.0,2304.0,2304.0,773.0,3175.0
2000,New Hampshire,1.5,4.6,1.3,2.9,7.2,2000,56719.9,Millions of chained 2012 dollars,NH,2000,43867.2,1239882.0,35380.0,NH,NH,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14559.0,0.0,0.0,0.0,82617.0,0.0,0.0,38620.0,38620.0,34.0,121237.0,309318.0,0.0,20053.0,20053.0,3970.0,0.0
2001,New Hampshire,1.4,4.2,1.3,2.8,7.2,2001,57432.7,Millions of chained 2012 dollars,NH,2001,46193.6,1255517.0,36792.0,NH,NH,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10236.0,0.0,0.0,0.0,90778.0,0.0,0.0,30186.0,30186.0,31.0,120964.0,306156.0,0.0,16993.0,16993.0,2921.0,0.0
2002,New Hampshire,1.4,4.4,1.1,2.6,8.1,2002,59040.7,Millions of chained 2012 dollars,NH,2002,47054.4,1269089.0,37077.0,NH,NH,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11607.0,0.0,0.0,0.0,97054.0,0.0,0.0,28896.0,28896.0,28.0,125950.0,316032.0,0.0,14152.0,14152.0,3102.0,0.0
2003,New Hampshire,1.7,7.3,1.2,3.2,7.6,2003,61610.3,Millions of chained 2012 dollars,NH,2003,48040.7,1279840.0,37536.0,NH,NH,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13479.0,0.0,0.0,0.0,96677.0,0.0,0.0,29849.0,29849.0,25.0,126527.0,325224.0,0.0,13487.0,13487.0,2848.0,0.0
2004,New Hampshire,1.9,7.8,1.2,3.3,7.8,2004,63499.0,Millions of chained 2012 dollars,NH,2004,50939.8,1290121.0,39484.0,NH,NH,0.0,0.0,0.0,0.0,0.0,0.0,10.0,13179.0,0.0,0.0,0.0,106132.0,0.0,0.0,34923.0,34923.0,36.0,141054.0,331782.0,0.0,18843.0,18843.0,2856.0,0.0
2005,New Hampshire,2.0,7.8,1.0,3.1,7.3,2005,64356.4,Millions of chained 2012 dollars,NH,2005,52878.8,1298492.0,40723.0,NH,NH,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17987.0,0.0,0.0,0.0,98682.0,0.0,0.0,41289.0,41289.0,40.0,139970.0,324933.0,0.0,20408.0,20408.0,2842.0,0.0
2006,New Hampshire,1.4,6.8,1.2,2.7,7.2,2006,65945.0,Millions of chained 2012 dollars,NH,2006,56585.7,1308389.0,43248.0,NH,NH,0.0,0.0,0.0,0.0,0.0,0.0,13.0,15165.0,0.0,0.0,0.0,98067.0,0.0,0.0,33103.0,33103.0,46.0,131170.0,306183.0,0.0,14965.0,14965.0,2914.0,0.0
2007,New Hampshire,1.4,6.7,0.9,2.7,7.3,2007,65697.9,Millions of chained 2012 dollars,NH,2007,58631.3,1312540.0,44670.0,NH,NH,0.0,0.0,0.0,0.0,0.0,0.0,16.0,12506.0,0.0,0.0,0.0,112902.0,0.0,0.0,34804.0,34804.0,52.0,147707.0,309038.0,0.0,19445.0,19445.0,2786.0,0.0
2008,New Hampshire,1.4,6.6,0.9,2.7,7.1,2008,65016.8,Millions of chained 2012 dollars,NH,2008,60129.0,1315906.0,45694.0,NH,NH,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16094.0,0.0,0.0,0.0,97729.0,0.0,0.0,39884.0,39884.0,60.0,137613.0,301443.0,0.0,20571.0,20571.0,3038.0,102.0
2009,New Hampshire,1.4,5.3,0.8,2.5,7.0,2009,64449.6,Millions of chained 2012 dollars,NH,2009,59082.5,1316102.0,44892.0,NH,NH,0.0,0.0,0.0,0.0,0.0,0.0,25.0,16402.0,0.0,0.0,0.0,92214.0,0.0,0.0,45367.0,45367.0,68.0,137581.0,297969.0,0.0,25224.0,25224.0,3040.0,610.0
2010,New Hampshire,1.2,5.4,0.8,2.2,7.0,2010,66441.5,Millions of chained 2012 dollars,NH,2010,61604.6,1316777.0,46784.0,NH,NH,0.0,0.0,0.0,0.0,0.0,0.0,28.0,14415.0,0.0,0.0,0.0,114032.0,0.0,0.0,45146.0,45146.0,83.0,159178.0,297207.0,0.0,27206.0,27206.0,2676.0,738.0
2011,New Hampshire,1.4,5.0,0.8,2.3,6.8,2011,66840.1,Millions of chained 2012 dollars,NH,2011,64589.7,1319815.0,48938.0,NH,NH,0.0,0.0,0.0,0.0,0.0,0.0,27.0,15592.0,0.0,0.0,0.0,87508.0,0.0,0.0,46133.0,46133.0,96.0,133641.0,295370.0,0.0,25296.0,25296.0,4479.0,642.0
2012,New Hampshire,1.2,4.1,0.7,1.9,6.6,2012,67689.2,Millions of chained 2012 dollars,NH,2012,67528.8,1323962.0,51005.0,NH,NH,0.0,0.0,0.0,0.0,0.0,0.0,29.0,11869.0,0.0,0.0,0.0,85814.0,0.0,0.0,44473.0,44473.0,126.0,130288.0,285239.0,0.0,25839.0,25839.0,4624.0,1986.0
2013,New Hampshire,1.3,3.3,0.8,2.3,6.7,2013,68800.2,Millions of chained 2012 dollars,NH,2013,67320.4,1326408.0,50754.0,NH,NH,0.0,0.0,0.0,0.0,0.0,0.0,29.0,13617.0,0.0,0.0,0.0,114173.0,0.0,0.0,52696.0,52696.0,169.0,166870.0,305280.0,0.0,30274.0,30274.0,4895.0,3713.0
2014,New Hampshire,1.4,3.3,0.9,2.7,6.7,2014,69544.7,Millions of chained 2012 dollars,NH,2014,70225.2,1333223.0,52673.0,NH,NH,0.0,0.0,0.0,0.0,0.0,0.0,29.0,13137.0,0.0,0.0,0.0,106350.0,0.0,0.0,55352.0,55352.0,206.0,161702.0,312018.0,0.0,33537.0,33537.0,4529.0,3914.0
2015,New Hampshire,1.5,3.5,0.8,2.7,6.7,2015,71511.1,Millions of chained 2012 dollars,NH,2015,73212.4,1336294.0,54788.0,NH,NH,0.0,0.0,0.0,0.0,0.0,0.0,29.0,11837.0,0.0,0.0,0.0,99186.0,0.0,0.0,61080.0,61080.0,292.0,160266.0,314898.0,0.0,40598.0,40598.0,4377.0,3947.0
2016,New Hampshire,1.4,2.4,0.8,2.5,6.7,2016,72815.6,Millions of chained 2012 dollars,NH,2016,75816.7,1342373.0,56480.0,NH,NH,0.0,0.0,0.0,0.0,0.0,0.0,29.0,10574.0,0.0,0.0,0.0,112551.0,0.0,0.0,55963.0,55963.0,547.0,168514.0,305904.0,0.0,36408.0,36408.0,4415.0,3991.0
2000,New Jersey,10.9,19.0,10.5,16.8,64.8,2000,473035.0,Millions of chained 2012 dollars,NJ,2000,330957.2,8430621.0,39257.0,NJ,NJ,0.0,0.0,0.0,0.0,0.0,0.0,102.0,143.0,0.0,0.0,0.0,298041.0,0.0,0.0,40323.0,40323.0,643.0,338364.0,2471918.0,0.0,14645.0,14645.0,24790.0,0.0
2001,New Jersey,9.4,18.6,11.9,16.2,62.9,2001,476507.7,Millions of chained 2012 dollars,NJ,2001,342304.1,8492671.0,40306.0,NJ,NJ,0.0,0.0,0.0,0.0,0.0,0.0,108.0,186.0,0.0,0.0,0.0,318190.0,0.0,0.0,29060.0,29060.0,669.0,347250.0,2447508.0,0.0,12451.0,12451.0,15646.0,0.0
2002,New Jersey,9.5,19.1,11.4,15.7,63.8,2002,487050.2,Millions of chained 2012 dollars,NJ,2002,347456.8,8552643.0,40626.0,NJ,NJ,0.0,0.0,0.0,0.0,0.0,0.0,118.0,122.0,0.0,0.0,0.0,322299.0,0.0,0.0,28701.0,28701.0,954.0,351001.0,2479567.0,0.0,11489.0,11489.0,16018.0,0.0
2003,New Jersey,10.6,18.1,11.6,18.4,62.3,2003,499694.9,Millions of chained 2012 dollars,NJ,2003,356314.9,8601402.0,41425.0,NJ,NJ,0.0,0.0,0.0,0.0,0.0,0.0,153.0,394.0,0.0,0.0,0.0,309629.0,0.0,0.0,26718.0,26718.0,1205.0,336347.0,2508931.0,0.0,12012.0,12012.0,12954.0,0.0
2004,New Jersey,10.9,19.1,11.7,17.4,64.5,2004,507585.4,Millions of chained 2012 dollars,NJ,2004,373078.6,8634561.0,43208.0,NJ,NJ,0.0,0.0,0.0,0.0,0.0,0.0,167.0,376.0,0.0,0.0,0.0,282407.0,0.0,0.0,27098.0,27098.0,1411.0,309505.0,2554068.0,0.0,12317.0,12317.0,12828.0,0.0
2005,New Jersey,11.3,19.3,11.7,16.9,69.3,2005,513498.7,Millions of chained 2012 dollars,NJ,2005,387392.7,8651974.0,44775.0,NJ,NJ,0.0,0.0,0.0,0.0,0.0,0.0,191.0,311.0,0.0,0.0,0.0,327604.0,0.0,0.0,19644.0,19644.0,1629.0,347247.0,2652446.0,0.0,3879.0,3879.0,13634.0,0.0
2006,New Jersey,9.5,18.3,10.8,14.1,68.5,2006,524056.2,Millions of chained 2012 dollars,NJ,2006,415890.9,8661679.0,48015.0,NJ,NJ,0.0,0.0,0.0,0.0,0.0,0.0,221.0,351.0,0.0,0.0,0.0,339846.0,0.0,0.0,21755.0,21755.0,1926.0,361601.0,2533435.0,0.0,4845.0,4845.0,14253.0,159.0
2007,New Jersey,11.0,19.4,10.4,16.1,72.0,2007,526814.4,Millions of chained 2012 dollars,NJ,2007,440165.6,8677885.0,50723.0,NJ,NJ,0.0,0.0,0.0,0.0,0.0,0.0,268.0,207.0,0.0,0.0,0.0,335757.0,0.0,0.0,20419.0,20419.0,2241.0,356176.0,2666397.0,0.0,5112.0,5112.0,12390.0,202.0
2008,New Jersey,10.6,18.7,8.6,15.8,72.9,2008,533053.7,Millions of chained 2012 dollars,NJ,2008,453018.9,8711090.0,52005.0,NJ,NJ,0.0,0.0,0.0,0.0,0.0,0.0,319.0,254.0,0.0,0.0,0.0,336500.0,0.0,0.0,23182.0,23182.0,2631.0,359682.0,2594341.0,0.0,5148.0,5148.0,14624.0,206.0
2009,New Jersey,11.1,14.6,7.2,15.5,61.1,2009,511149.6,Millions of chained 2012 dollars,NJ,2009,439087.9,8755602.0,50149.0,NJ,NJ,0.0,0.0,0.0,0.0,0.0,0.0,398.0,313.0,0.0,0.0,0.0,359036.0,0.0,0.0,33864.0,33864.0,3350.0,392900.0,2372654.0,0.0,15455.0,15455.0,14144.0,204.0
2010,New Jersey,10.9,17.7,8.3,14.6,62.3,2010,516589.3,Millions of chained 2012 dollars,NJ,2010,452466.4,8799624.0,51419.0,NJ,NJ,0.0,0.0,0.0,0.0,0.0,0.0,448.0,177.0,0.0,0.0,0.0,342526.0,0.0,0.0,37292.0,37292.0,4910.0,379818.0,2411758.0,0.0,18305.0,18305.0,13329.0,123.0
